,item,product_name,user,user_name,rating
0,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,10618,Br74,3.0
1,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,1768,StM21,5.0
2,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,3328,boddishiva,2.0
3,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,3687,Conti2021,4.0
4,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,7108,Thibj,1.0
5,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,1076,elin,4.0
6,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,3630,Parata,1.0
7,5456,Pneu Route Continental GP 5000 700 mm Tubetype Souple Vectran Breaker BlackChili,6613,pat1,1.0
8,4431,Cassette Shimano Ultegra CS-R8000 11V,1767,Artsstef124,5.0
9,4431,Cassette Shimano Ultegra CS-R8000 11V,9019,Stephane,5.0
10,4431,Cassette Shimano Ultegra CS-R8000 11V,1469,jojolemotard51800,4.0
11,4788,Paire de Pédales VTT Look X-Track Race Carbon,8864,Julien,5.0
12,4431,Cassette Shimano Ultegra CS-R8000 11V,6175,Aurélien,5.0
13,4431,Cassette Shimano Ultegra CS-R8000 11V,3151,Juju,5.0
14,4431,Cassette Shimano Ultegra CS-R8000 11V,4592,Serge06,5.0
15,4431,Cassette Shimano Ultegra CS-R8000 11V,3151,Juju,5.0
16,4431,Cassette Shimano Ultegra CS-R8000 11V,1848,Ratounatch,4.0
17,4974,Paire de Plaquettes Résine Shimano B03S Deore / Alivio / Acera / Tektro,535,fantomas77,5.0
18,4974,Paire de Plaquettes Résine Shimano B03S Deore / Alivio / Acera / Tektro,7456,jojo,5.0
19,4974,Paire de Plaquettes Résine Shimano B03S Deore / Alivio / Acera / Tektro,6493,Fabien,5.0
20,4974,Paire de Plaquettes Résine Shimano B03S Deore / Alivio / Acera / Tektro,5699,mid26,4.0
21,4974,Paire de Plaquettes Résine Shimano B03S Deore / Alivio / Acera / Tektro,8079,Coco53,5.0
22,4974,Paire de Plaquettes Résine Shimano B03S Deore / Alivio / Acera / Tektro,3961,Loulou,3.0
23,4974,Paire de Plaquettes Résine Shimano B03S Deore / Alivio / Acera / Tektro,9001,Explorer,4.0
25,4155,Cassette Sram NX Eagle PG-1230 12V,6725,FlorianSpi,4.0
26,4155,Cassette Sram NX Eagle PG-1230 12V,11442,christian,4.0
27,4155,Cassette Sram NX Eagle PG-1230 12V,4086,JMLPLZ,5.0
28,4155,Cassette Sram NX Eagle PG-1230 12V,638,Fabrice,5.0
29,4155,Cassette Sram NX Eagle PG-1230 12V,2136,Dinho,5.0
30,4155,Cassette Sram NX Eagle PG-1230 12V,337,Enjoy the Ride,5.0
31,4155,Cassette Sram NX Eagle PG-1230 12V,3927,FLA57,4.0
32,4155,Cassette Sram NX Eagle PG-1230 12V,10542,Nourson,5.0
33,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,10618,Br74,3.0
34,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,1768,StM21,5.0
35,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,3328,boddishiva,2.0
36,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,3687,Conti2021,4.0
37,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,7108,Thibj,1.0
38,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,1076,elin,4.0
39,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,3630,Parata,1.0
40,4788,Paire de Pédales VTT Look X-Track Race Carbon,5254,Yves M,5.0
41,540,Pneu Route Continental Grand Prix 5000 700c Tubetype Souple BlackChili Vectran Breaker LazerGrip ACT Marron,6613,pat1,1.0
42,5028,SHIMANO Cassette Ultegra CS-6700 10V,8648,ThierryB74,5.0
43,5028,SHIMANO Cassette Ultegra CS-6700 10V,1394,Dan1959,5.0
44,5028,SHIMANO Cassette Ultegra CS-6700 10V,10908,lulu,5.0
45,5028,SHIMANO Cassette Ultegra CS-6700 10V,3967,olivier,5.0
46,5028,SHIMANO Cassette Ultegra CS-6700 10V,10951,Thomas,5.0
47,5028,SHIMANO Cassette Ultegra CS-6700 10V,2185,roverman,5.0
48,5028,SHIMANO Cassette Ultegra CS-6700 10V,7929,Seb11,5.0
49,5028,SHIMANO Cassette Ultegra CS-6700 10V,10489,Alex,1.0
50,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,5700,je7ome,5.0
51,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,8279,DANYMO,5.0
52,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,3967,olivier,5.0
53,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,3096,vulpes,5.0
54,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,3613,Denis,5.0
55,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,5537,gobille,4.0
56,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,10332,louis,4.0
57,5690,Chaine Shimano Ultegra CN-6701 10V 116 maillons,2412,TG92,5.0
59,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,3985,Lapain88,1.0
60,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,7134,elision,2.0
61,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,1877,lionel60,1.0
62,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,2094,krispie1107,1.0
63,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,10126,Alexscale,2.0
64,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,5867,Magneto17,1.0
65,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,10951,Thomas,1.0
66,4814,Boitier de Pédalier Sram DUB PressFit 89/92mm,395,christophe,4.0
67,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,9957,CRF1,5.0
68,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,10493,oliv21,4.0
69,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,7343,Xeno42,4.0
70,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,1144,dolby,4.0
71,4769,SHIMANO Cales SPD SM-SH56 (la paire),100,Tony,5.0
72,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,9393,Carpediem,4.0
73,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,9524,philou,4.0
74,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,11019,Christof,4.0
75,702,Cassette Sram GX EAGLE XG-1275 10-50 Dents 12V,11424,Sebb,3.0
76,2163,Chaine KMC X11EL 118 maillons 11V Argent,6975,vttpassion,5.0
77,2163,Chaine KMC X11EL 118 maillons 11V Argent,9908,nonosurf,4.0
78,2163,Chaine KMC X11EL 118 maillons 11V Argent,9294,aspartak,5.0
79,2163,Chaine KMC X11EL 118 maillons 11V Argent,9096,Georges13,3.0
80,2163,Chaine KMC X11EL 118 maillons 11V Argent,10666,Olivier,5.0
81,2163,Chaine KMC X11EL 118 maillons 11V Argent,7109,papy27,5.0
82,2163,Chaine KMC X11EL 118 maillons 11V Argent,1859,Mimich17,5.0
83,2163,Chaine KMC X11EL 118 maillons 11V Argent,7787,Yves,5.0
84,5499,Pneu Continental GP 4 Saisons,9177,Nico,1.0
85,5499,Pneu Continental GP 4 Saisons,3395,Coyotteduvar,4.0
86,3865,SRAM Cassette GX 11V XG-1150,9204,No fear,4.0
87,5499,Pneu Continental GP 4 Saisons,773,basv93,2.0
88,5499,Pneu Continental GP 4 Saisons,6068,Alexbike44,5.0
89,5499,Pneu Continental GP 4 Saisons,9384,JMB2A,1.0
90,5499,Pneu Continental GP 4 Saisons,6362,Mathias L.,3.0
91,5499,Pneu Continental GP 4 Saisons,5289,Arnaud92,2.0
92,5499,Pneu Continental GP 4 Saisons,6175,Aurélien,5.0
93,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,6420,Pierre,5.0
94,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,2432,Tarmac,5.0
95,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,9104,Giant TCR,5.0
96,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,94,Dominique des Aravis,5.0
97,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,7214,Adri974,5.0
98,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,1850,Stephane974,4.0
99,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,10227,Fravinove,5.0
100,2385,Paire de Pédales SHIMANO Ultegra PD-R8000,8799,Jules,5.0
102,739,Cassette Shimano CS-HG400 9V,5751,Pache,5.0
103,739,Cassette Shimano CS-HG400 9V,1950,kiki,4.0
104,739,Cassette Shimano CS-HG400 9V,10513,jean,5.0
105,739,Cassette Shimano CS-HG400 9V,2774,Lsodss,4.0
